Date,Ping,Download-Speed,Upload-Speed
Wed Feb  1 11:00:00  2017,x,x,x
Wed Feb  1 11:15:01  2017,x,x,x
Wed Feb  1 11:30:01  2017,x,x,x
Wed Feb  1 11:45:01  2017,x,x,x
Wed Feb  1 12:00:01  2017,x,x,x
Wed Feb  1 12:15:01  2017,x,x,x
Wed Feb  1 12:30:01  2017,x,x,x
Wed Feb  1 12:45:01  2017,x,x,x
Wed Feb  1 13:00:01  2017,x,x,x
Wed Feb  1 13:15:01  2017,x,x,x
Wed Feb  1 13:30:01  2017,x,x,x
Wed Feb  1 13:45:01  2017,x,x,x
Wed Feb  1 14:00:01  2017,x,x,x
Wed Feb  1 14:15:01  2017,x,x,x
Wed Feb  1 14:30:01  2017,44.915 ,0.97 ,0.00 
Wed Feb  1 14:45:01  2017,x,x,x
Wed Feb  1 15:00:00  2017,x,x,x
Wed Feb  1 15:15:01  2017,x,x,x
Wed Feb  1 15:30:01  2017,x,x,x
Wed Feb  1 15:45:01  2017,x,x,x
Wed Feb  1 16:00:01  2017,x,x,x
Wed Feb  1 16:15:01  2017,47.502,0.31 ,0.03 
Wed Feb  1 16:30:01  2017,x,x,x
Wed Feb  1 16:45:01  2017,39.908,0.37 ,0.00 
Wed Feb  1 17:00:01  2017,x,x,x
Wed Feb  1 17:15:01  2017,x,x,x
Wed Feb  1 17:30:01  2017,x,x,x
Wed Feb  1 17:45:01  2017,x,x,x
Wed Feb  1 18:00:01  2017,62.063,1.82 ,0.03 
Wed Feb  1 18:15:01  2017,58.557 ,1.31 ,0.00 
Wed Feb  1 18:30:01  2017,x,x,x
Wed Feb  1 18:45:01  2017,x,x,x
Wed Feb  1 19:00:01  2017,x,x,x
Wed Feb  1 19:15:01  2017,x,x,x
Wed Feb  1 19:30:01  2017,x,x,x
Wed Feb  1 19:45:01  2017,54.715 ,0.38 ,0.04 
Wed Feb  1 20:00:01  2017,47.615 ,0.32 ,0.05 
Wed Feb  1 20:15:01  2017,46.881 ,2.94 ,0.02 
Wed Feb  1 20:30:01  2017,x,x,x
