Wed Nov  2 02:30:01  2016,33.05 ,19.76 ,17.69 
Wed Nov  2 02:35:01  2016,34.441 ,19.05 ,17.02 
Wed Nov  2 02:40:01  2016,31.261 ,20.00 ,16.96 
Wed Nov  2 02:45:01  2016,31.945 ,19.91 , 18.11 
Wed Nov  2 02:50:01  2016,30.86 ,20.18 ,17.81 
Wed Nov  2 02:55:01  2016,30.687 ,20.47 ,18.30 
Wed Nov  2 03:00:01  2016,30.191 ,18.92 ,21.19 
Wed Nov  2 03:05:01  2016,32.16 ,19.48 ,17.97 
Wed Nov  2 03:10:01  2016,32.617 ,18.86 ,16.62 
Wed Nov  2 03:15:01  2016,30.93 ,19.42 ,16.82 
Wed Nov  2 03:20:01  2016,29.952 ,20.52 ,18.71 
Wed Nov  2 03:25:01  2016,31.91 ,20.31 ,18.16 
Wed Nov  2 03:30:01  2016,32.316 ,19.36 ,17.75 
Wed Nov  2 03:35:01  2016,32.285 ,19.64 ,17.15 
Wed Nov  2 03:40:01  2016,30.959 ,19.82 ,18.62 
Wed Nov  2 03:45:01  2016,32.827 ,19.95 ,16.52 
Wed Nov  2 03:50:01  2016,33.965 ,20.57 ,15.09 
Wed Nov  2 03:55:01  2016,29.946 ,19.82 ,18.32 
Wed Nov  2 04:00:01  2016,30.41 ,19.92 ,18.11 
Wed Nov  2 04:05:01  2016,30.289 ,21.61 ,17.79 
Wed Nov  2 04:10:01  2016,30.452 ,20.45 ,18.70 
Wed Nov  2 04:15:01  2016,29.934 ,20.53 ,18.49 
Wed Nov  2 04:20:01  2016,29.655 ,20.85 ,17.27 
Wed Nov  2 04:25:01  2016,30.431 ,20.52 ,18.48 
Wed Nov  2 04:30:01  2016,29.772 ,21.24 ,18.41 
Wed Nov  2 04:35:01  2016,29.772 ,20.82 ,18.27 
Wed Nov  2 04:40:01  2016,29.606 ,19.65 ,17.68 
Wed Nov  2 04:45:01  2016,28.523 ,20.53 ,18.12 
Wed Nov  2 04:50:01  2016,29.914 ,19.95 ,16.76 
Wed Nov  2 04:55:01  2016,30.447 ,19.19 ,17.97 
Wed Nov  2 05:00:01  2016,29.76 ,20.53 ,17.48 
Wed Nov  2 05:05:01  2016,30.925 ,16.72 ,16.89 
Wed Nov  2 05:10:01  2016,31.038 ,19.82 ,18.37 
Wed Nov  2 05:15:01  2016,31.155 ,20.43 ,18.40 
Wed Nov  2 05:20:01  2016,29.909 ,19.55 ,18.64 
Wed Nov  2 05:25:01  2016,29.831 ,20.45 ,18.56 
Wed Nov  2 05:30:01  2016,31.248 ,19.82 ,16.44 
Wed Nov  2 05:35:01  2016,31.286 ,20.31 ,18.63 
Wed Nov  2 05:40:01  2016,29.929 ,19.49 ,18.04 
Wed Nov  2 05:45:01  2016,31.112 ,19.33 ,18.45 
Wed Nov  2 05:50:01  2016,32.055 ,21.12 ,16.86 
Wed Nov  2 05:55:01  2016,33.551 ,21.06 ,18.39 
Wed Nov  2 06:00:01  2016,30.776 ,20.88 ,17.27 
Wed Nov  2 06:05:01  2016,31.926 ,20.21 ,16.89 
Wed Nov  2 06:10:01  2016,32.409 ,20.04 ,17.37 
Wed Nov  2 06:15:01  2016,31.926 ,19.44 ,18.30 
Wed Nov  2 06:20:01  2016,41.001 ,17.67, 17.83 
Wed Nov  2 06:25:01  2016,29.725,18.05 ,17.02 
Wed Nov  2 06:30:01  2016,41.62,19.80 ,18.36 
Wed Nov  2 06:35:01  2016,36.791 ,17.31 ,17.76 
Wed Nov  2 06:40:01  2016,44.506 ,17.09 ,18.00 
Wed Nov  2 06:45:01  2016,43.559 ,17.43 ,17.60 
Wed Nov  2 06:50:01  2016,43.597 ,17.99 ,15.81 
Wed Nov  2 06:55:01  2016,39.8 ,17.00 ,14.49 
